교재,레벨,구간,Chapter,영어,뜻
절대수능-map,Basic,Basic1,4,interest,"이자, 이율"
절대수능-map,Basic,Basic1,4,funeral,장례식
절대수능-map,Basic,Basic1,4,shield ,가리다
절대수능-map,Basic,Basic1,4,excess,"초과된, 여분의"
절대수능-map,Basic,Basic1,4,virtual ,가상의
절대수능-map,Basic,Basic1,4,impact,영향
절대수능-map,Basic,Basic1,4,vibrant,"활기찬, 활발한"
절대수능-map,Basic,Basic1,4,factor ,"요인, 인자 "
절대수능-map,Basic,Basic1,4,birth,"탄생, 출생"
절대수능-map,Basic,Basic1,4,degrade,저하시키다
절대수능-map,Basic,Basic1,4,desire,"바라다, 원하다 "
절대수능-map,Basic,Basic1,4,interact,소통하다
절대수능-map,Basic,Basic1,4,chore,집안일
절대수능-map,Basic,Basic1,4,pessimistic ,비관적인
절대수능-map,Basic,Basic1,4,extensive,"대규모의, 확장의"
절대수능-map,Basic,Basic1,4,pollution,오염
절대수능-map,Basic,Basic1,4,precious,소중한
절대수능-map,Basic,Basic1,4,diverse,다양한
절대수능-map,Basic,Basic1,4,profound,"엄청난, 깊은"
절대수능-map,Basic,Basic1,4,bond,유대감
절대수능-map,Basic,Basic1,4,consumption,소비
절대수능-map,Basic,Basic1,4,reminder,상기시키는 것
절대수능-map,Basic,Basic1,4,anxiety,"불안(감), 염려"
절대수능-map,Basic,Basic1,4,period,"시대, 시기"
절대수능-map,Basic,Basic1,4,challenge,"도전하다, 도전 의식을 북돋우다 "
절대수능-map,Basic,Basic1,4,deceive,속이다 
절대수능-map,Basic,Basic1,4,conquest,정복
절대수능-map,Basic,Basic1,4,upfront,솔직한
절대수능-map,Basic,Basic1,4,overwhelming,"압도적인, 엄청난"
절대수능-map,Basic,Basic1,4,toddler,아장아장 걷는 아기
절대수능-map,Basic,Basic1,4,exhibit,"보이다, 드러내다 "
절대수능-map,Basic,Basic1,4,reputation,"평판, 명성"
절대수능-map,Basic,Basic1,4,emphasis,강조 
절대수능-map,Basic,Basic1,4,pressure,"압박, 스트레스 "
